id,entri,entri_normal,kandidat_reduplikasi,sudah_bertagar_reduplikasi,tagar_kode
9,aba-aba,aba-aba,R,0,
16,abah-abah,abah-abah,R,0,
25,abal-abal,abal-abal,R,0,
94,abong-abong,abong-abong,R,0,
116,abrit-abritan,abrit-abritan,R.purwa,0,
155,abu-abu (1),abu-abu,R,0,
156,abu-abu (2),abu-abu,R,0,
163,abuk-abuk,abuk-abuk,R,0,
168,abun-abun,abun-abun,R,0,
177,acak-acak,acak-acak,R,0,
181,acan-acan,acan-acan,R,0,
183,acang-acang (1),acang-acang,R,0,
184,acang-acang (2),acang-acang,R,0,
201,aci-aci (1),aci-aci,R,0,
202,aci-aci (2),aci-aci,R,0,
203,aci-aci kalimat (3),aci-aci kalimat,R.purwa,0,
236,adang-adang,adang-adang,R,0,
237,adap-adapan,adap-adapan,R.purwa,0,
277,adi-adi,adi-adi,R,0,
479,agak-agih,agak-agih,R.salin,0,
510,agar-agar,agar-agar,R,0,
614,agut-agut,agut-agut,R,0,
674,ajar-ajar,ajar-ajar,R,0,
681,aji-aji (1),aji-aji,R,0,
682,aji-aji (2),aji-aji,R,0,
949,alai-belai,alai-belai,R.wasana,0,
968,alan-alan,alan-alan,R,0,
973,alang-alang,alang-alang,R,0,
983,alap-alap,alap-alap,R,0,
1079,ali-ali,ali-ali,R,0,
1090,alih-alih,alih-alih,R,0,
1261,alu-alu,alu-alu,R,0,
1262,alu-aluan,alu-aluan,R.purwa,0,
1273,alun-alun,alun-alun,R,0,
1279,alur-alur,alur-alur,R,0,
1333,ambah-ambah,ambah-ambah,R,0,
1336,ambai-ambai (1),ambai-ambai,R,0,
1337,ambai-ambai (2),ambai-ambai,R,0,
1393,ambreng-ambrengan,ambreng-ambrengan,R.purwa,0,
1399,ambu-ambu (1),ambu-ambu,R,0,
1400,ambu-ambu (2),ambu-ambu,R,0,
1408,ambung-ambung,ambung-ambung,R,0,
1500,amin-amin,amin-amin,R,0,
1513,amit-amit,amit-amit,R,0,
1543,ampai-ampai,ampai-ampai,R,0,
1601,amung-amung,amung-amung,R,0,
1628,anai-anai,anai-anai,R,0,
1681,ancak-ancak,ancak-ancak,R,0,
1685,ancar-ancar,ancar-ancar,R,0,
1708,andang-andang,andang-andang,R,0,
1715,andeng-andeng,andeng-andeng,R,0,
1794,anggel-anggel,anggel-anggel,R,0,
1814,anggup-anggip,anggup-anggip,R.salin,0,
1830,angkal-angkal,angkal-angkal,R,0,
1854,angkul-angkul (1),angkul-angkul,R,0,
1855,angkul-angkul (2),angkul-angkul,R,0,
1862,angkut-angkut,angkut-angkut,R,0,
1888,ani-ani,ani-ani,R,0,
1902,aning-aning,aning-aning,R,0,
1919,anjang-anjang (1),anjang-anjang,R,0,
1920,anjang-anjang (2),anjang-anjang,R,0,
1921,anjang-anjang (3),anjang-anjang,R,0,
1922,anjang-anjang (4),anjang-anjang,R,0,
1923,anjang-anjang (5),anjang-anjang,R,0,
1932,anjing-anjing (1),anjing-anjing,R,0,
1933,anjing-anjing (2),anjing-anjing,R,0,
1984,antah-berantah,antah-berantah,R.wasana,0,
1997,antar-antar,antar-antar,R,0,
2051,anter-anter,anter-anter,R,0,
2179,antung-antung,antung-antung,R,0,
2199,anyak-anyik,anyak-anyik,R.salin,0,
2203,anyang-anyang,anyang-anyang,R,0,
2204,anyang-anyangan,anyang-anyangan,R.purwa,0,
2257,api-api (1),api-api,R,0,
2258,api-api (2),api-api,R,0,
2269,apit-apit (1),apit-apit,R,0,
2270,apit-apit (2),apit-apit,R,0,
2330,aprit-apritan,aprit-apritan,R.purwa,0,
2335,apu-apu,apu-apu,R,0,
2393,arem-arem,arem-arem,R,0,
2424,ari-ari,ari-ari,R,0,
2525,aru-aru,aru-aru,R,0,
2554,asah-asah,asah-asah,R,0,
2718,asuh-asuh,asuh-asuh,R,0,
2761,ati-ati,ati-ati,R,0,
2804,au-au,au-au,R,0,
2946,awar-awar (1),awar-awar,R,0,
2947,awar-awar (2),awar-awar,R,0,
2953,awat-awat,awat-awat,R,0,
2957,awik-awik,awik-awik,R,0,
2964,awuk-awuk,awuk-awuk,R,0,
2974,ayak-ayak,ayak-ayak,R,0,
2977,ayam-ayam,ayam-ayam,R,0,
2982,ayang-ayang,ayang-ayang,R,0,
2994,ayong-ayong,ayong-ayong,R,0,
3249,bajang-bajang,bajang-bajang,R,0,
3256,baji-baji,baji-baji,R,0,
3354,balai-balai,balai-balai,R,0,
3391,bale-bale,bale-bale,R,0,
3603,bangun-bangun,bangun-bangun,R,0,
3698,barat-barat,barat-barat,R,0,
3699,barau-barau (1),barau-barau,R,0,
3700,barau-barau (2),barau-barau,R,0,
3714,bare-bare,bare-bare,R,0,
3726,bari-bari,bari-bari,R,0,
3764,baru-baru laut,baru-baru laut,R.purwa,0,
3774,barung-barung,barung-barung,R,0,
3787,basa-basi,basa-basi,R.purwa,0,
3875,batir-batir,batir-batir,R,0,
3935,bayan-bayan,bayan-bayan,R,0,
4045,begana-begini,begana-begini,R.purwa,0,
4179,belat-belit,belat-belit,R.salin,0,
4302,belu-belai,belu-belai,R.purwa,0,
4407,bengang-bengut,bengang-bengut,R.purwa,0,
4413,benggal-benggil,benggal-benggil,R.salin,0,
4427,bengkal-bengkil,bengkal-bengkil,R.salin,0,
4429,bengkang-bengkok,bengkang-bengkok,R.purwa,0,
4430,bengkang-bengkong,bengkang-bengkong,R.salin,0,
4431,bengkang-bengkung,bengkang-bengkung,R.salin,0,
4577,berang-berang,berang-berang,R,0,
4593,beras-beras (1),beras-beras,R,0,
4594,beras-beras (2),beras-beras,R,0,
4602,berek-berek,berek-berek,R,0,
4609,bereng-bereng,bereng-bereng,R,0,
4631,beri-beri,beri-beri,R,0,
4639,bering-bering,bering-bering,R,0,
4763,betak-betak (1),betak-betak,R,0,
4764,betak-betak (2),betak-betak,R,0,
4779,beti-beti,beti-beti,R,0,
4784,betik-betik,betik-betik,R,0,
4812,bia-bia,bia-bia,R,0,
4832,biar-biar,biar-biar,R,0,
4955,bilang-bilang,bilang-bilang,R,0,
5007,bincang-bincut,bincang-bincut,R.purwa,0,
5045,binti-binti,binti-binti,R,0,
5131,biri-biri,biri-biri,R,0,
5312,bolak-balik,bolak-balik,R.salin,0,
5313,bolang-baling,bolang-baling,R.salin,0,
5375,bongkar-bangkir,bongkar-bangkir,R.salin,0,
5435,boro-boro,boro-boro,R,0,
5475,boyo-boyo,boyo-boyo,R,0,
5576,buaya-buaya,buaya-buaya,R,0,
5627,bugi-bugi,bugi-bugi,R,0,
5670,bula-bula,bula-bula,R,0,
5678,bulang-baling,bulang-baling,R.salin,0,
5693,buli-buli,buli-buli,R,0,
5699,bulu-bulu,bulu-bulu,R,0,
5708,bulus-bulus,bulus-bulus,R,0,
6295,cawe-cawe,cawe-cawe,R,0,
6303,cebar-cebur,cebar-cebur,R.salin,0,
6421,celam-celum,celam-celum,R.salin,0,
6426,celangak-celinguk,celangak-celinguk,R.salin,0,
6433,celas-celus,celas-celus,R.salin,0,
6450,celengkak-celengkok,celengkak-celengkok,R.salin,0,
6465,celingak-celinguk,celingak-celinguk,R.salin,0,
6482,celum-celam,celum-celam,R.salin,0,
6561,cenal-cenil,cenal-cenil,R.salin,0,
6597,cengar-cengir,cengar-cengir,R.salin,0,
6609,cengir-cengir,cengir-cengir,R,0,
6611,cengis-cengis,cengis-cengis,R,0,
6682,ceplas-ceplos,ceplas-ceplos,R.salin,0,
6707,cerai-berai,cerai-berai,R.wasana,0,
6800,cetar-ceter,cetar-ceter,R.salin,0,
6959,cobak-cabik,cobak-cabik,R.salin,0,
5910,cobar-cabir,cobar-cabir,R.salin,0,
6961,cobar-cabir,cobar-cabir,R.salin,0,
6997,cola-cala,cola-cala,R.salin,0,
7000,colang-caling,colang-caling,R.salin,0,
7017,comat-comot,comat-comot,R.salin,0,
7028,compang-camping,compang-camping,R.salin,0,
7042,conggah-canggih,conggah-canggih,R.salin,0,
7045,congkah-cangkih,congkah-cangkih,R.salin,0,
7046,congkah-mangkih,congkah-mangkih,R.salin,0,
7072,copak-capik,copak-capik,R.salin,0,
7080,corak-carik,corak-carik,R.salin,0,
7098,crat-crit,crat-crit,R.salin,0,
7109,cuang-caing,cuang-caing,R.salin,0,
7117,cubung-cubung,cubung-cubung,R,0,
7123,cuci-maki,cuci-maki,R.salin,0,
7184,cumi-cumi,cumi-cumi,R,0,
7313,dag-dag,dag-dag,R,0,
7314,dag-dig-dug,dag-dig-dug,R.tri,0,
7353,dakak-dakak,dakak-dakak,R,0,
7384,dalam-dalam,dalam-dalam,R,0,
7392,dali-dali,dali-dali,R,0,
7514,dari-dari,dari-dari,R,0,
7528,daru-daru,daru-daru,R,0,
7581,dawai-dawai,dawai-dawai,R,0,
7720,deg-degan,deg-degan,R.purwa,0,
7761,dekak-dekak,dekak-dekak,R,0,
8157,desas-desus,desas-desus,R.salin,0,
8275,dewi-dewi,dewi-dewi,R,0,
8474,dinul-Islam,dinul-islam,R.salin,0,
8678,dog-dog,dog-dog,R,0,
8701,doko-doko,doko-doko,R,0,
8703,dokok-dokok,dokok-dokok,R,0,
8718,dolak-dalik,dolak-dalik,R.salin,0,
8937,dulang-dulang,dulang-dulang,R,0,
9128,eigen-nilai,eigen-nilai,R.salin,0,
9674,empon-empon,empon-empon,R,0,
9778,engap-engap,engap-engap,R,0,
9797,engket-engket,engket-engket,R,0,
9995,erek-erek,erek-erek,R,0,
10548,flip-plop,flip-plop,R.salin,0,
10816,gaba-gaba (1),gaba-gaba,R,0,
10817,gaba-gaba (2),gaba-gaba,R,0,
10822,gabai-gabai,gabai-gabai,R,0,
10846,gada-gada,gada-gada,R,0,
10857,gadi-gadi,gadi-gadi,R,0,
10861,gading-gading (1),gading-gading,R,0,
10862,gading-gading (2),gading-gading,R,0,
10866,gado-gado,gado-gado,R,0,
10935,gala-gala,gala-gala,R,0,
10980,gali-gali,gali-gali,R,0,
10982,galing-galing,galing-galing,R,0,
10989,galu-galu,galu-galu,R,0,
11035,gami-gami,gami-gami,R,0,
11052,gana-gini,gana-gini,R.salin,0,
11168,gapah-gopoh,gapah-gopoh,R.salin,0,
11181,gara-gara,gara-gara,R,0,
11300,gayang-gayang,gayang-gayang,R,0,
11359,gedana-gedini,gedana-gedini,R.purwa,0,
11362,gedebak-gedebuk,gedebak-gedebuk,R.salin,0,
11363,gedebar-gedebur,gedebar-gedebur,R.salin,0,
11563,geli-geli (1),geli-geli,R,0,
11564,geli-geli (2),geli-geli,R,0,
11692,gembrang-gembreng,gembrang-gembreng,R.salin,0,
11753,gempul-gempul,gempul-gempul,R,0,
11973,gerbas-gerbus,gerbas-gerbus,R.salin,0,
12003,gereng-gereng,gereng-gereng,R,0,
12122,gerot-gerot,gerot-gerot,R,0,
12177,getak-getuk,getak-getuk,R.salin,0,
12185,geteh-geteh,geteh-geteh,R,0,
12188,getem-getem,getem-getem,R,0,
12243,gili-gili,gili-gili,R,0,
12286,girap-girap,girap-girap,R,0,
12297,giring-giring,giring-giring,R,0,
12433,golak-galik,golak-galik,R.salin,0,
12465,gondas-gandes,gondas-gandes,R.salin,0,
12492,gono-gini,gono-gini,R.salin,0,
12497,gonta-ganti,gonta-ganti,R.salin,0,
12516,goro-goro,goro-goro,R,0,
12519,gorong-gorong,gorong-gorong,R,0,
12582,grasah-grusuh,grasah-grusuh,R.salin,0,
12601,gresek-gresek,gresek-gresek,R,0,
12652,gudu-gudu,gudu-gudu,R,0,
12678,gulang-gulang,gulang-gulang,R,0,
12717,guna-ganah,guna-ganah,R.salin,0,
12716,guna-guna,guna-guna,R,0,
12886,halai-balai,halai-balai,R.wasana,0,
13096,hawar-hawar,hawar-hawar,R,0,
13440,hila-hila,hila-hila,R,0,
13580,hiru-biru,hiru-biru,R.wasana,0,
13582,hiru-hara,hiru-hara,R.salin,0,
13628,hogo-hogo,hogo-hogo,R,0,
13742,hubar-habir,hubar-habir,R.salin,0,
13743,hubaya-hubaya,hubaya-hubaya,R,0,
13767,hula-hula (1),hula-hula,R,0,
13768,hula-hula (2),hula-hula,R,0,
13807,hura-hura,hura-hura,R,0,
13812,huru-hara,huru-hara,R.salin,0,
13840,ibar-ibar,ibar-ibar,R,0,
13858,icak-icak,icak-icak,R,0,
13951,ikan-ikan,ikan-ikan,R,0,
14007,ilam-ilam,ilam-ilam,R,0,
14013,ilat-ilatan,ilat-ilatan,R.purwa,0,
14018,iles-iles,iles-iles,R,0,
14072,iming-iming,iming-iming,R,0,
14141,imut-imut,imut-imut,R,0,
14157,incang-incut,incang-incut,R.purwa,0,
14282,inggang-inggung,inggang-inggung,R.salin,0,
14302,ining-ining,ining-ining,R,0,
14601,irah-irahan,irah-irahan,R.purwa,0,
14602,ira-ira,ira-ira,R,0,
14610,ireng-ireng,ireng-ireng,R,0,
14635,isak-isak,isak-isak,R,0,
14659,islamo-demokrasi,islamo-demokrasi,R.salin,0,
14906,jali-jali,jali-jali,R,0,
15065,jari-jari,jari-jari,R,0,
15079,jarum-jarum merah,jarum-jarum merah,R.purwa,0,
15136,jebar-jebur,jebar-jebur,R.salin,0,
15248,jelur-jelir,jelur-jelir,R.salin,0,
15369,jentik-jentik,jentik-jentik,R,0,
15377,jeprat-jepret,jeprat-jepret,R.salin,0,
15631,jolong-jolong,jolong-jolong,R,0,
15648,jongkar-jangkir,jongkar-jangkir,R.salin,0,
15649,jongkat-jangkit,jongkat-jangkit,R.salin,0,
15739,julo-julo,julo-julo,R,0,
15745,julung-julung,julung-julung,R,0,
15781,jungkang-jungkit,jungkang-jungkit,R.purwa,0,
15807,jurai-jurai,jurai-jurai,R,0,
15851,kabali-balil,kabali-balil,R.salin,0,
15853,kabang-kabang,kabang-kabang,R,0,
15872,kabir-kabiran,kabir-kabiran,R.purwa,0,
15882,kabu-kabu,kabu-kabu,R,0,
15911,kacang-kacangan,kacang-kacangan,R.purwa,0,
16045,kait-kait,kait-kait,R,0,
16082,kakek-kakek,kakek-kakek,R,0,
16118,kala-kala,kala-kala,R,0,
16153,kalau-kalau,kalau-kalau,R,0,
16237,kalo-kalo,kalo-kalo,R,0,
16274,kamanu-manu,kamanu-manu,R.wasana,0,
16333,kamit-kamit,kamit-kamit,R,0,
16387,kanak-kanak,kanak-kanak,R,0,
16406,kanda-kanda oa,kanda-kanda oa,R.purwa,0,
16696,kareseh-peseh,kareseh-peseh,R.wasana,0,
16807,kasak-kisik,kasak-kisik,R.salin,0,
16808,kasak-kusuk,kasak-kusuk,R.salin,0,
16914,katang-katang (1),katang-katang,R,0,
16915,katang-katang (2),katang-katang,R,0,
16971,kato-kato,kato-kato,R,0,
16989,kau-kaudara,kau-kaudara,R.purwa,0,
17017,kawa-kawa,kawa-kawa,R,0,
17060,kayu-kayu,kayu-kayu,R,0,
17162,kecuh-kecah,kecuh-kecah,R.salin,0,
17325,kelak-kelik,kelak-kelik,R.salin,0,
17326,kelak-keluk,kelak-keluk,R.salin,0,
17353,kelap-kelip,kelap-kelip,R.salin,0,
17365,kelasah-kelusuh,kelasah-kelusuh,R.salin,0,
17394,kelek-kelekan,kelek-kelekan,R.purwa,0,
17402,kelemak-kelemek,kelemak-kelemek,R.salin,0,
17507,kelik-kelik,kelik-kelik,R,0,
17535,kelip-kelip (1),kelip-kelip,R,0,
17536,kelip-kelip (2),kelip-kelip,R,0,
17579,kelontang-kelantung,kelontang-kelantung,R.salin,0,
17634,kelusuh-kelasah,kelusuh-kelasah,R.salin,0,
17636,kelut-melut,kelut-melut,R.wasana,0,
17644,kemak-kemik,kemak-kemik,R.salin,0,
17809,kencrang-kencring,kencrang-kencring,R.salin,0,
17868,kentung-kentung,kentung-kentung,R,0,
17880,kenyat-kenyut,kenyat-kenyut,R.salin,0,
17908,kepang-kepot,kepang-kepot,R.purwa,0,
17962,kepuh-kepuh,kepuh-kepuh,R,0,
18030,kerang-keroh,kerang-keroh,R.purwa,0,
18022,kerang-kerung,kerang-kerung,R.salin,0,
18071,kercap-kercip,kercap-kercip,R.salin,0,
18072,kercap-kercup,kercap-kercup,R.salin,0,
18151,keriang-keriut,keriang-keriut,R.purwa,0,
18154,keriat-keriut,keriat-keriut,R.salin,0,
18229,kernyat-kernyut,kernyat-kernyut,R.salin,0,
18241,kerobak-kerabit,kerobak-kerabit,R.purwa,0,
18239,kerobak-kerobek,kerobak-kerobek,R.salin,0,
